championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Kayn,Derrealaquilis,NA1,11,4,5,12,12,18065,322476,24192,35252,9499,41581,3,0,14,1,1,15612,14000,0.0,False,False,False,7,2,666,0,122,26,0,280,103,0,0,3,1,12,85,1,2,1,858.8981911627405,2,0,23,0,0,0,1689.984703219,554.3112880678281,0,2,1,58.000000059604645,0,4.8,2,0.5853658536585366,2,,0,0,0,1.0,0,1,0,0,24,0,0,1,0.2276331922843833,0,5,4,True,100
Nocturne,NaturePhotonics,2802,11,4,8,6,6,13034,205875,19989,41905,2125,15194,1,0,15,9,0,11379,10225,0.0,False,False,False,2,1,422,0,84,16,0,533,242,0,0,0,0,6,61,0,1,4,709.6806099579115,1,13,9,0,1,0,1689.984703219,404.00967800521676,5,2,1,57.00000011920929,0,1.5,1,0.5,1,,0,0,7,0.0,1,2,0,4,12,0,0,0,0.23166549794909236,1,1,4,False,200
Nocturne,NaturePhotonics,2802,11,4,9,11,20,18783,279444,27919,60631,0,50946,0,0,46,7,10,15373,14725,1.0,False,True,False,4,2,424,0,119,2,0,897,314,0,0,3,0,11,74,1,0,6,767.2917859997938,2,16,5,0,1,0,2183.210918262,422.5029738322581,9,2,1,56.800000101327896,1,3.4444444444444446,2,0.6739130434782609,1,,1,0,10,0.0,0,2,0,13,31,0,0,1,0.18268247546608293,0,0,6,True,100
Rammus,LeaningTable,123,11,4,10,4,16,13944,199564,29780,49746,601,24965,1,0,31,1,1,12128,11375,0.0,False,False,False,2,1,573,0,75,9,158,663,274,0,0,0,1,4,57,1,0,1,818.4288015263908,2,105,11,1,0,0,2183.210918262,333.3084183658672,14,2,0,34.70000007748604,0,2.0,3,0.5882352941176471,2,,0,5,0,0.0,1,0,0,0,20,0,0,1,0.2020824265122727,1,1,2,False,200
Graves,A Lonely Road,NA5,11,4,10,18,15,18127,328078,44847,28900,5218,39688,3,0,20,4,1,16698,14375,0.0,True,False,False,6,3,274,0,95,43,0,466,271,0,1,4,0,18,58,1,4,1,1571.2564073609553,3,0,29,2,1,0,1712.5473123890001,585.0381022699127,0,1,1,49.20000007748604,0,3.3,1,0.6346153846153846,3,,0,0,6,0.0,0,5,0,0,33,0,0,1,0.32781487295831113,0,4,3,True,100
Nocturne,NaturePhotonics,2802,11,4,11,11,7,12232,189174,21532,48926,0,26342,0,0,28,5,3,11898,11425,0.0,False,False,False,4,2,354,0,86,4,0,722,307,0,0,1,0,11,62,0,0,4,754.4062104320631,0,8,1,0,1,0,1712.5473123890001,416.88641807379224,6,2,1,54.000000059604645,1,1.6363636363636365,2,0.6428571428571429,0,,3,0,5,0.0,1,2,0,0,18,0,0,0,0.28878228837672465,1,0,5,False,200
Khazix,Hikaria,NA1,4,11,4,11,11,19671,370009,30349,37447,3369,47402,2,0,40,2,9,16288,15000,0.0,False,False,False,10,1,1582,0,167,20,0,316,166,0,0,0,0,11,111,0,3,1,923.2804310949571,2,1,10,2,0,0,1972.311615649,495.52715559207047,0,2,1,58.00000008940697,0,5.5,3,0.7096774193548387,1,,0,0,2,0.0,1,0,0,0,22,0,0,0,0.2544827919278277,1,2,3,False,100
Nocturne,NaturePhotonics,2802,11,4,9,7,10,17392,291647,20726,54539,3584,27041,3,0,39,7,6,13408,11450,0.0,False,False,False,2,1,387,0,148,0,0,829,326,0,0,0,1,7,107,1,0,6,630.5232649384313,1,6,0,2,0,0,1972.311615649,407.9021044192459,2,2,1,68.00000008940697,0,1.8888888888888888,0,0.5,1,,2,0,6,0.0,0,1,0,2,17,0,0,1,0.15825440282486228,0,3,5,True,200
Amumu,diLL87,NA1,4,11,2,5,10,11291,200919,10644,19184,707,29060,0,0,18,7,1,9141,8050,0.0,False,False,False,3,1,515,0,0,0,0,208,32,0,0,0,0,5,0,0,7,4,500.18945183212554,1,30,0,0,0,0,1276.8180058540001,429.57052327860674,11,2,1,56.00000011920929,0,7.5,1,0.5769230769230769,2,,0,0,1,0.0,0,0,0,0,15,0,0,0,0.1735876933112753,1,1,6,True,100
Nocturne,NaturePhotonics,2802,11,4,5,2,5,8452,148981,10127,24441,0,6472,0,0,24,7,4,7175,6925,0.0,False,False,False,0,1,535,0,0,0,0,427,111,0,0,0,0,2,0,0,7,5,475.8888076857053,1,3,0,0,0,0,1276.8180058540001,337.16824814546163,1,2,1,64.00000005960464,0,1.4,1,0.7,1,,0,0,3,0.0,0,0,0,1,7,0,0,0,0.2753634586242187,0,0,0,False,200
