Name,Tag,Server,Region,puuid,Key_ID
Madhusito,BBTO,lan,americas,apsLIaiK48Zdi8ncpY3_rzMX5AkmGohkQjXi-_qshE05ZvlmsbLFfjzEQgRLGIVGNwwS5cM-9QPzZA,9
TTV debster,saj,euw,europe,mVUlNwe3lZ3Zu1u7T3cX42CVDy9dMIr-ygyRjrELMvtHhVFlvdFcAwINvlhjPNzIVKIL8FWeKYB2dw,9
xia1,11111,kr,asia,eMBJUYCqnmQ8tP_3OsWkwZSaxGXRuP_n0G3263-5xTEOLD5-mUCeUB5h45GFodeb84h5WKLE8U67tA,9
OnlyGragasOnlyGG,kossu,euw,europe,UoJZSIzo8dK9r5uRKhzM50KFCw7iV4cRSFDRh0U_LWVf1-xHxzi-84BP1R37xbc-7d7SLcQ1wCxJ8Q,9
Fellan,KRAMP,euw,europe,0C026WHTc_zQtOsG8P9iKbjo_qsiczfgYAHDJb-il9Gu0ANX7LcBfxqqkYNJDPCqgJp2Hy26dZILJA,9
LovingUisSuicide,MK677,eune,europe,jTBQ2OfLMWRBqIjS1SDcsZcgGFbxcIBt55hmQVYOAVF3lk8XNJjpj8YUc0WMHjjDmeJMcJKL76LV6A,9
PanuGragoSloppy,KR1,kr,asia,6eyW2KqjsU6b8B7-TUF0MWnCW-7ZAvncraClG34ZhP8Skcsfv6XFPU9yKz7ePpOX33vx-9oPYp7mog,9
Llioz,EUW,euw,europe,fmwck-GTuRTbAoHfe2nSRFQ0U1yHuZVZg3curj78Et10TmrJMMbxJMmuV01Vc6aowjCIsVo2mFWdTw,9
lLeDaSl,EUNE,eune,europe,Api81udrCMXNhd_XInn520zmfOeqYi51DYAIT5-0TFHS1OMkd4i9qkh4qCJzMQXDoPaQGtjaAI0qRQ,9
Noksu,404,euw,europe,rvk4Vy8c4nwEdqmwuQpg8XNQj4j8ynvwPrM15RUIqHRw4ldLFnMWt9IgItDaxdgz0hJ224wJ3mSW_w,9
mary on a cross,TR1,tr,europe,H8FJ3cga3CaGBr1Dg9SzKGAHK58rp9u8NGB5WLwldM4IdeBNSoqBfFna4-8eoLUwnPgseyQF_N96Ng,9
deor,1122,br,americas,eWimOQ1bditFXhvuOlFmpty2wgiFK50y4Ef1rOYitTknJ_KgqT6zkcMJdYINXpdgj6gXIBWwB2RzvA,9
LikeGGBOOM9,KRR,kr,asia,Ro2tHBS1imUawRY0Dd57i134fZgfKfz8Wu3miR4X0bNXJHAru85XtVxVSu1knI9Y0cmvfa7GSP-4QA,9
Ellie,tgirl,eune,europe,kjpuNeClZ7VK0MSqz8eMoCuQD206xdep4H_RIBG_7Rz24UViDO9bxEQuSdKSDyGq7bTmo43ACwyetg,9
wokyeto,WTH,eune,europe,gDiSxBMrEnhaxQBhZq3_yTC8UryJUd3T1_tSoMlhZOLWvWJkJHBvPGTysQUc6lecKxCAlmmZjfrMRw,9
Burrito,bomba,na,americas,c7BKMR1bgYdDmz5RfoNQgBT4lPBHDwshyy8O1o8xevf4Vh_d62Ke5KhT6pqjCj-Rfwdn4T13F2rvKQ,9
Dificil desviar,cheat,br,americas,-yAOA-yCtIzxNqcxTXt3KhqCPQvARAgbfGHv5CDSVvQ-lObc07cVSkRGA0DVVMjzo51bYAjuVq3pDQ,9
Bartus47,DOWN,eune,europe,3gSQbvZWCT0N8CCc3Bn339oUw8d_xCG_lLboeO2FUrr99dbZZjzuHzEoPOy4AtUZuOTXdmXLuof8Xg,9
Babushka,9239,euw,europe,1UA3d1Qel3iB73O4v7X8qqUAxCU-VMgAm_w2Wp_-kqjy8_r0cX4IzBiRSaNuHybXuVteffVh9gJUWg,9
TreyDog,NA1,na,americas,Vw9zGHb0C0HxOZ1l13Jm0gZ5_Qx3F2dC3be_jKAF2vxK7-9f2bL2bS-ry3BvdUBi8PSlR9vRfwfVIQ,9
Trailblaze,Rails,na,americas,G2f0Uo5Kik-qILy0ESF5CLYi6D6-hzvqc6FhBobEiUShIGDGPnJ9E76rkHJJnKFeuB25Qw0uEfe0Tw,9
GRONKS YOLOSWAG,SJON,euw,europe,arXFmv-fciDudklGjXsQytrNj4XyRBord0WF2Llaf_eW_VgTvC_B5Rx1evMIv3XuuldsBQSI8BQQ9Q,9
I Am Clancy,GRAGA,br,americas,pp5vszldPL8hW4mYdjeBiaSbxfIlBzRvFaEhqg-4UQBBWsZ54pqOq2g2QgTQE4cwpsvkZi5ujQWPWA,9
Bilookinhas,BR2,br,americas,wV9GCu11nlFKg3opaupJDXfL-qR65kFyJrTD2J1Cl2bc7KHFLQuoBX2SDa0kUFx5U6WcNTSH3ox7rQ,9
decay arc,EUW,euw,europe,3jA7CRo91V4mLf4Q5xaMidLWLo_ZwgUePaWoAaxoXRNtqSRm0p-Ip9XNRZcxCIRouQ7JJXej-eeXoQ,9
guz1vjppr0kut3,2810,kr,asia,1hTSw3xnNtGi0uhi7YCQbf-7Du_PldJ-UGomixVC-sJ2fADRp_umzkAYEVTk0JojzVcqOt4Rb2It8Q,9
htsjbngk,1234,na,americas,8nu441oHCBwxhqCqdEu2rBgc-W4hC6wExupbZCGleA0yXLJtqKRW2j4e9G3i9weebQQq0hC3GzTJ4w,9
2 RBWH D,DK1,kr,asia,NQ1V7TBLbDHv5jdGTlHUMaV_P3f3a-m13avTm2PQGBgQy9Ltnmh4L_c7V-nQVrlNlYSd_OKyY2M7-w,9
Khanzee,5001,na,americas,fA24AlP-3JroZ4tT9Ekt59FSaBtjZHuIUbftb9FpVOCdYHPWQZCEP0u_ZYISdokzfyXLZpJyhybAfg,9
Misty,5041,ru,europe,4Nel1_Ys4JrVdcL2r1XVbY1IXdIeTvMFFe0vvNR2uGT7l85I_joIQ0o69C4wkqgAMkzw3V2zWZbmAA,9
BDS 113,113,euw,europe,Ra7k8wfjQwZ74-oGAQU6xBbBM-dGHwbEDgS9YGBftrBrNQzoKpd9nCGTUtXM61CKJqv5oZ2kDYnpqg,9
dawnwarrior506,crayo,na,americas,0J08k5nTvzkLdzQdt0mhF6o6KaCqDsEgLTxL3YrFkLOgZf6t-afa8OFX9dO42iRxZpJGBmQWvr59aQ,9
slow,1118,kr,asia,yDhNFub01e-6bttra-9QNJshkMxR5fL59LjAX31IwHo5Y1cnYpnxoBEaYEEANkIUrLJ_1ux0NMyKsg,9
Fam,kr2,kr,asia,oF4l9enay6lgcELtmDQ8JIF8ciVakbZDDm9CNp0_2n-RN0lwMlKBGb1zbXZdye8vZZeffIwgYlyUaw,9
xeonerr,EU1,euw,europe,sXGo-5KnYGainx1Ixum3AbEr_xvylFDkD6kE-G5HGbL9nhM4zglpUpnUkdGSlV3LqAGOYAmubzS45A,9
xrhmleh,NA1,na,americas,2yohnQW-eCOW8lnAZ-RQLFRdp3MHNJgNqGOdhZunj-LKzJY55d3kgKE03ysrmlXZ68wDRdVif7IyZA,9
PlayTheBazzi,KR2,kr,asia,I5oeEQY-at6CFydyVzu6tRxE6mDCD-Iu6h6xUBLFjN8enIYeDT17kPt0vX11QkdKMIawrtV7ts-Pgg,9
Boukada,EUW,euw,europe,aYRYWc8d4fr3aDFbOhjYy5eqxb_NmmYACkIQvd1ZJFLLmVQvR67nu1RnhlibBqgbBidZBx12Lk1TEw,9
qweasdzxcvbn1,yrrw,kr,asia,XrakkAfzZr0beJQB__zW2JXscYNJNL4f0lPVlhnWef7lmSmyc2zHXX20u-eudU3p54XC6F2-F1johw,9
Samuel Smithers,616,euw,europe,RRDV5XUWEwB7iq3S_yXk5_mJPV6nqMZ9BuzLDSurOMjvYTuRoyuyHzoDivchyWEQyXvrI-u9lUaF9w,9
Luv maker,KR1,kr,asia,J31Cv9ZKmX0sE_lAqx92aO7Ry0sz_eFox3HZ8WniUd1roNQqZg5bLuqElEcHZyF9N7k7dWiURSAAKg,9
William Kid,Capt,kr,asia,-CWkq2JpYCCE7sFDdT6wNplr25yDOBIJ1XfZcmiLcbvzkW1q-YAx8TVUy70tDh7CqyVnpAIZs2f7Yw,9
