Name,Tag,Server,Region,puuid,Key_ID
Zaptor,404,euw,europe,DXUa8rWCPNirCekxPVikgCyGmMZL2yVvRhJldBLekZ7pPBMA4i8zGqh5VkPtU3OvwcnGtzbKZbppRw,3
1234,213,euw,europe,FgtxTHfz6hZ88-hS9H5YoHxQChnWMrLzpOiJ6DbuHCWn2RKocivzDNRWq9LO3xvVdrrbz2LPRW-3BA,3
110,4MANO,na,americas,Q7SCUYzck4OORDMTMCyEUhm71LBYsnswzuf9gJMO3CPDC9qQ9WVdroDLjMUen_MvgG4FdRnUPUBIPQ,3
Ziko,DBZ,euw,europe,dX0Ce3udSq1RWhLP4j4WsIKfD9OQIRAAh48WXm_fI6xH_ogMNy5mS4Ng9z_UH1BL3a3USKA1tB6ntw,3
Uvinos Jungle,EUW,euw,europe,LyZl0JiWbHHVToyPABxxoVHRatI_cafOoTZkf6hCbf3vnC5zzAKqphmYh00Wf99mey135CLI490Btg,3
ricrickx,LAN,lan,americas,CZrM1-4zXq7OeuJFKsYDET8nudsvzyXAxchg6Gfy4DiVe8gZ2i3966bgH4pzngj4huDRkdpU47issQ,3
llllllllll,lllIl,kr,asia,upKv7-To5XZKv4BdP4QC_hMZ-5W9hip4qUMFvXWtAqJ0HXrx42iHvuP3YPHv7HM8dTVxU182JSCKVw,3
RG SoMo,4553,euw,europe,z_5QthEL20GjghQ6cSeEAbunY62M7tEKb3KjLa4xR7CMTeIgDXfCMDkjfc4agwozURPizgMAMIpTEg,3
Tom Bombadil,LOTR1,eune,europe,ktt3w47Q0ZqRroNeuAfjmjsbQ-l8p0kgnkcKR__C8Bb9-CYWli2F9DqFHYt74HvH2f-6NGwaX6Rlgg,3
Repfix,NA1,na,americas,rW0HBTCWlGYp0b9DQhWeM1wuvSRs4idQHq1P1wG-gDKFL4psi8B4EA6BPZyGMsIvH1G9VWhWQKTgug,3
Dionysos,CSO,euw,europe,-Wv0PkvkYW05VoKTnZj2htt09WvR0XhIA_lpzChXyJWitPyyEROnjpDrXCl6Utkk4Gs_W5mro0CDsQ,3
